"filename", "language", "Markdown", "JavaScript", "Skill", "JSON", "XML", "PHP", "PostCSS", "comment", "blank", "total"
"c:\laragon\www\marchando\app\Http\Controllers\DiningTableController.php", "PHP", 0, 0, 0, 0, 0, 70, 0, 0, 14, 84
"c:\laragon\www\marchando\app\Http\Controllers\DiningTableQrController.php", "PHP", 0, 0, 0, 0, 0, 43, 0, 0, 12, 55
"c:\laragon\www\marchando\app\Http\Controllers\EmployeeController.php", "PHP", 0, 0, 0, 0, 0, 99, 0, 0, 16, 115
"c:\laragon\www\marchando\app\Http\Controllers\KitchenController.php", "PHP", 0, 0, 0, 0, 0, 104, 0, 0, 23, 127
"c:\laragon\www\marchando\app\Http\Controllers\ModifierGroupController.php", "PHP", 0, 0, 0, 0, 0, 110, 0, 1, 26, 137
"c:\laragon\www\marchando\app\Http\Controllers\ModifierOptionController.php", "PHP", 0, 0, 0, 0, 0, 89, 0, 1, 21, 111
"c:\laragon\www\marchando\app\Http\Controllers\PaymentController.php", "PHP", 0, 0, 0, 0, 0, 64, 0, 0, 13, 77
"c:\laragon\www\marchando\app\Http\Controllers\PosAdvancedController.php", "PHP", 0, 0, 0, 0, 0, 150, 0, 0, 31, 181
"c:\laragon\www\marchando\app\Http\Controllers\PosController.php", "PHP", 0, 0, 0, 0, 0, 137, 0, 0, 28, 165
"c:\laragon\www\marchando\app\Http\Controllers\ProductController.php", "PHP", 0, 0, 0, 0, 0, 116, 0, 1, 21, 138
"c:\laragon\www\marchando\app\Http\Controllers\ProductFormatController.php", "PHP", 0, 0, 0, 0, 0, 115, 0, 0, 27, 142
"c:\laragon\www\marchando\app\Http\Controllers\ProductModifierGroupController.php", "PHP", 0, 0, 0, 0, 0, 87, 0, 0, 14, 101
"c:\laragon\www\marchando\app\Http\Controllers\PublicDiningTableController.php", "PHP", 0, 0, 0, 0, 0, 14, 0, 0, 5, 19
"c:\laragon\www\marchando\app\Http\Controllers\PublicOrderAdminController.php", "PHP", 0, 0, 0, 0, 0, 43, 0, 0, 9, 52
"c:\laragon\www\marchando\app\Http\Controllers\PublicOrderingController.php", "PHP", 0, 0, 0, 0, 0, 127, 0, 0, 36, 163
"c:\laragon\www\marchando\app\Http\Controllers\RestaurantFloorPlanController.php", "PHP", 0, 0, 0, 0, 0, 40, 0, 0, 7, 47
"c:\laragon\www\marchando\app\Http\Controllers\RestaurantSettingsController.php", "PHP", 0, 0, 0, 0, 0, 103, 0, 3, 21, 127
"c:\laragon\www\marchando\app\Http\Controllers\StaffController.php", "PHP", 0, 0, 0, 0, 0, 55, 0, 0, 11, 66
"c:\laragon\www\marchando\app\Http\Controllers\ZoneController.php", "PHP", 0, 0, 0, 0, 0, 52, 0, 0, 11, 63
"c:\laragon\www\marchando\app\Http\Controllers\ZonePrintController.php", "PHP", 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"c:\laragon\www\marchando\app\Http\Middleware\EnsureRestaurantMembership.php", "PHP", 0, 0, 0, 0, 0, 16, 0, 5, 6, 27
"c:\laragon\www\marchando\app\Http\Requests\AttachModifierGroupRequest.php", "PHP", 0, 0, 0, 0, 0, 25, 0, 0, 7, 32
"c:\laragon\www\marchando\app\Http\Requests\AttendanceCorrectionRequest.php", "PHP", 0, 0, 0, 0, 0, 18, 0, 0, 6, 24
"c:\laragon\www\marchando\app\Http\Requests\CatalogIndexRequest.php", "PHP", 0, 0, 0, 0, 0, 24, 0, 8, 5, 37
"c:\laragon\www\marchando\app\Http\Requests\EmployeeRequest.php", "PHP", 0, 0, 0, 0, 0, 43, 0, 0, 10, 53
"c:\laragon\www\marchando\app\Http\Requests\ManualAttendanceRequest.php", "PHP", 0, 0, 0, 0, 0, 18, 0, 0, 5, 23
"c:\laragon\www\marchando\app\Http\Requests\ModifierGroupRequest.php", "PHP", 0, 0, 0, 0, 0, 41, 0, 0, 9, 50
"c:\laragon\www\marchando\app\Http\Requests\ModifierOptionRequest.php", "PHP", 0, 0, 0, 0, 0, 35, 0, 0, 7, 42
"c:\laragon\www\marchando\app\Http\Requests\Pos\AddOrderLineRequest.php", "PHP", 0, 0, 0, 0, 0, 21, 0, 0, 6, 27
"c:\laragon\www\marchando\app\Http\Requests\Pos\ChangeOrderLineRequest.php", "PHP", 0, 0, 0, 0, 0, 22, 0, 0, 6, 28
"c:\laragon\www\marchando\app\Http\Requests\Pos\CloseCashSessionRequest.php", "PHP", 0, 0, 0, 0, 0, 14, 0, 0, 5, 19
"c:\laragon\www\marchando\app\Http\Requests\Pos\OpenCashSessionRequest.php", "PHP", 0, 0, 0, 0, 0, 14, 0, 0, 5, 19
"c:\laragon\www\marchando\app\Http\Requests\Pos\OpenOrderRequest.php", "PHP", 0, 0, 0, 0, 0, 16, 0, 0, 5, 21
"c:\laragon\www\marchando\app\Http\Requests\Pos\PaymentRequest.php", "PHP", 0, 0, 0, 0, 0, 18, 0, 0, 6, 24
"c:\laragon\www\marchando\app\Http\Requests\Pos\SwitchPosEmployeeRequest.php", "PHP", 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"c:\laragon\www\marchando\app\Http\Requests\PreparationStationRequest.php", "PHP", 0, 0, 0, 0, 0, 16, 0, 0, 6, 22
"c:\laragon\www\marchando\app\Http\Requests\ProductFormatRequest.php", "PHP", 0, 0, 0, 0, 0, 39, 0, 0, 8, 47
"c:\laragon\www\marchando\app\Http\Requests\StoreCategoryRequest.php", "PHP", 0, 0, 0, 0, 0, 29, 0, 0, 6, 35
"c:\laragon\www\marchando\app\Http\Requests\StoreDiningTableBatchRequest.php", "PHP", 0, 0, 0, 0, 0, 22, 0, 1, 7, 30
"c:\laragon\www\marchando\app\Http\Requests\StoreDiningTableRequest.php", "PHP", 0, 0, 0, 0, 0, 24, 0, 0, 6, 30
"c:\laragon\www\marchando\app\Http\Requests\StoreProductRequest.php", "PHP", 0, 0, 0, 0, 0, 50, 0, 0, 9, 59
"c:\laragon\www\marchando\app\Http\Requests\StoreZoneRequest.php", "PHP", 0, 0, 0, 0, 0, 14, 0, 0, 5, 19
"c:\laragon\www\marchando\app\Http\Requests\TransferDiningTableRequest.php", "PHP", 0, 0, 0, 0, 0, 22, 0, 0, 7, 29
"c:\laragon\www\marchando\app\Http\Requests\UpdateOpeningHoursRequest.php", "PHP", 0, 0, 0, 0, 0, 115, 0, 6, 32, 153
"c:\laragon\www\marchando\app\Http\Requests\UpdateProductAvailabilityRequest.php", "PHP", 0, 0, 0, 0, 0, 14, 0, 0, 5, 19
"c:\laragon\www\marchando\app\Http\Requests\UpdateRestaurantChannelsRequest.php", "PHP", 0, 0, 0, 0, 0, 34, 0, 3, 6, 43
"c:\laragon\www\marchando\app\Http\Requests\UpdateRestaurantSettingsRequest.php", "PHP", 0, 0, 0, 0, 0, 40, 0, 3, 6, 49
"c:\laragon\www\marchando\app\KitchenService.php", "PHP", 0, 0, 0, 0, 0, 126, 0, 0, 14, 140
"c:\laragon\www\marchando\app\Models\ActiveTableOrder.php", "PHP", 0, 0, 0, 0, 0, 22, 0, 0, 9, 31
"c:\laragon\www\marchando\app\Models\Allergen.php", "PHP", 0, 0, 0, 0, 0, 19, 0, 1, 7, 27
"c:\laragon\www\marchando\app\Models\CashCount.php", "PHP", 0, 0, 0, 0, 0, 17, 0, 0, 7, 24
"c:\laragon\www\marchando\app\Models\CashMovement.php", "PHP", 0, 0, 0, 0, 0, 20, 0, 0, 7, 27
"c:\laragon\www\marchando\app\Models\CashRegister.php", "PHP", 0, 0, 0, 0, 0, 21, 0, 0, 7, 28
"c:\laragon\www\marchando\app\Models\CashSession.php", "PHP", 0, 0, 0, 0, 0, 33, 0, 0, 10, 43
"c:\laragon\www\marchando\app\Models\Category.php", "PHP", 0, 0, 0, 0, 0, 35, 0, 1, 9, 45
"c:\laragon\www\marchando\app\Models\DiningTable.php", "PHP", 0, 0, 0, 0, 0, 46, 0, 1, 13, 60
"c:\laragon\www\marchando\app\Models\Employee.php", "PHP", 0, 0, 0, 0, 0, 58, 0, 0, 17, 75
"c:\laragon\www\marchando\app\Models\KitchenCancellation.php", "PHP", 0, 0, 0, 0, 0, 16, 0, 0, 6, 22
"c:\laragon\www\marchando\app\Models\KitchenDispatch.php", "PHP", 0, 0, 0, 0, 0, 25, 0, 0, 8, 33
"c:\laragon\www\marchando\app\Models\KitchenEvent.php", "PHP", 0, 0, 0, 0, 0, 12, 0, 0, 6, 18
"c:\laragon\www\marchando\app\Models\KitchenItem.php", "PHP", 0, 0, 0, 0, 0, 33, 0, 0, 10, 43
"c:\laragon\www\marchando\app\Models\KitchenStation.php", "PHP", 0, 0, 0, 0, 0, 23, 0, 0, 8, 31
"c:\laragon\www\marchando\app\Models\Membership.php", "PHP", 0, 0, 0, 0, 0, 15, 0, 1, 6, 22
"c:\laragon\www\marchando\app\Models\ModifierGroup.php", "PHP", 0, 0, 0, 0, 0, 38, 0, 1, 12, 51
"c:\laragon\www\marchando\app\Models\ModifierOption.php", "PHP", 0, 0, 0, 0, 0, 21, 0, 1, 8, 30
"c:\laragon\www\marchando\app\Models\OpeningHour.php", "PHP", 0, 0, 0, 0, 0, 29, 0, 1, 7, 37
"c:\laragon\www\marchando\app\Models\OperationalRole.php", "PHP", 0, 0, 0, 0, 0, 17, 0, 0, 6, 23
"c:\laragon\www\marchando\app\Models\Order.php", "PHP", 0, 0, 0, 0, 0, 86, 0, 0, 23, 109
"c:\laragon\www\marchando\app\Models\OrderCharge.php", "PHP", 0, 0, 0, 0, 0, 16, 0, 0, 6, 22
"c:\laragon\www\marchando\app\Models\OrderDiscount.php", "PHP", 0, 0, 0, 0, 0, 20, 0, 0, 7, 27
"c:\laragon\www\marchando\app\Models\OrderEvent.php", "PHP", 0, 0, 0, 0, 0, 21, 0, 0, 8, 29
"c:\laragon\www\marchando\app\Models\OrderFulfillment.php", "PHP", 0, 0, 0, 0, 0, 24, 0, 0, 8, 32
"c:\laragon\www\marchando\app\Models\OrderLine.php", "PHP", 0, 0, 0, 0, 0, 42, 0, 0, 12, 54
"c:\laragon\www\marchando\app\Models\OrderLineModifier.php", "PHP", 0, 0, 0, 0, 0, 16, 0, 0, 6, 22
"c:\laragon\www\marchando\app\Models\OrderRound.php", "PHP", 0, 0, 0, 0, 0, 42, 0, 0, 12, 54
"c:\laragon\www\marchando\app\Models\OrderSplitAllocation.php", "PHP", 0, 0, 0, 0, 0, 20, 0, 0, 7, 27
"c:\laragon\www\marchando\app\Models\OrderSplitPart.php", "PHP", 0, 0, 0, 0, 0, 25, 0, 0, 8, 33
"c:\laragon\www\marchando\app\Models\OrderSplitPlan.php", "PHP", 0, 0, 0, 0, 0, 25, 0, 0, 8, 33
"c:\laragon\www\marchando\app\Models\Payment.php", "PHP", 0, 0, 0, 0, 0, 42, 0, 0, 12, 54
"c:\laragon\www\marchando\app\Models\PaymentMethod.php", "PHP", 0, 0, 0, 0, 0, 21, 0, 0, 7, 28
"c:\laragon\www\marchando\app\Models\PaymentReversal.php", "PHP", 0, 0, 0, 0, 0, 16, 0, 0, 6, 22
"c:\laragon\www\marchando\app\Models\PaymentTender.php", "PHP", 0, 0, 0, 0, 0, 20, 0, 0, 7, 27
"c:\laragon\www\marchando\app\Models\Product.php", "PHP", 0, 0, 0, 0, 0, 91, 0, 1, 17, 109
"c:\laragon\www\marchando\app\Models\ProductFormat.php", "PHP", 0, 0, 0, 0, 0, 21, 0, 1, 8, 30
"c:\laragon\www\marchando\app\Models\ProductModifierGroup.php", "PHP", 0, 0, 0, 0, 0, 23, 0, 1, 8, 32
"c:\laragon\www\marchando\app\Models\PublicOrderRequest.php", "PHP", 0, 0, 0, 0, 0, 34, 0, 0, 11, 45
"c:\laragon\www\marchando\app\Models\PublicOrderRequestLine.php", "PHP", 0, 0, 0, 0, 0, 16, 0, 0, 6, 22
"c:\laragon\www\marchando\app\Models\Restaurant.php", "PHP", 0, 0, 0, 0, 0, 193, 0, 1, 35, 229
"c:\laragon\www\marchando\app\Models\User.php", "PHP", 0, 0, 0, 0, 0, 34, 0, 7, 7, 48
"c:\laragon\www\marchando\app\Models\WorkInterval.php", "PHP", 0, 0, 0, 0, 0, 33, 0, 0, 10, 43
"c:\laragon\www\marchando\app\Models\WorkIntervalCorrection.php", "PHP", 0, 0, 0, 0, 0, 21, 0, 0, 8, 29
"c:\laragon\www\marchando\app\Models\Zone.php", "PHP", 0, 0, 0, 0, 0, 26, 0, 1, 9, 36
"c:\laragon\www\marchando\app\Policies\CategoryPolicy.php", "PHP", 0, 0, 0, 0, 0, 15, 0, 0, 5, 20
"c:\laragon\www\marchando\app\Policies\DiningTablePolicy.php", "PHP", 0, 0, 0, 0, 0, 15, 0, 0, 5, 20
"c:\laragon\www\marchando\app\Policies\EmployeePolicy.php", "PHP", 0, 0, 0, 0, 0, 15, 0, 0, 5, 20
"c:\laragon\www\marchando\app\Policies\KitchenStationPolicy.php", "PHP", 0, 0, 0, 0, 0, 15, 0, 0, 5, 20
"c:\laragon\www\marchando\app\Policies\OrderPolicy.php", "PHP", 0, 0, 0, 0, 0, 15, 0, 0, 5, 20
"c:\laragon\www\marchando\app\Policies\ProductPolicy.php", "PHP", 0, 0, 0, 0, 0, 15, 0, 0, 5, 20
"c:\laragon\www\marchando\app\Policies\RestaurantPolicy.php", "PHP", 0, 0, 0, 0, 0, 62, 0, 0, 16, 78
"c:\laragon\www\marchando\app\Policies\ZonePolicy.php", "PHP", 0, 0, 0, 0, 0, 15, 0, 0, 5, 20
"c:\laragon\www\marchando\app\PosService.php", "PHP", 0, 0, 0, 0, 0, 452, 0, 0, 42, 494
"c:\laragon\www\marchando\app\Providers\AppServiceProvider.php", "PHP", 0, 0, 0, 0, 0, 12, 0, 8, 5, 25
"c:\laragon\www\marchando\app\PublicCatalogService.php", "PHP", 0, 0, 0, 0, 0, 72, 0, 0, 14, 86
"c:\laragon\www\marchando\app\PublicOrderService.php", "PHP", 0, 0, 0, 0, 0, 138, 0, 0, 11, 149
"c:\laragon\www\marchando\app\RestaurantAvailability.php", "PHP", 0, 0, 0, 0, 0, 60, 0, 0, 12, 72
"c:\laragon\www\marchando\boost.json", "JSON", 0, 0, 0, 18, 0, 0, 0, 0, 1, 19
"c:\laragon\www\marchando\bootstrap\app.php", "PHP", 0, 0, 0, 0, 0, 23, 0, 0, 3, 26
"c:\laragon\www\marchando\bootstrap\providers.php", "PHP", 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"c:\laragon\www\marchando\composer.json", "JSON", 0, 0, 0, 89, 0, 0, 0, 0, 1, 90
"c:\laragon\www\marchando\composer.lock", "JSON", 0, 0, 0, 9869, 0, 0, 0, 0, 1, 9870
"c:\laragon\www\marchando\config\app.php", "PHP", 0, 0, 0, 0, 0, 22, 0, 82, 23, 127
